,YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCTED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ENROLLMENT_ELL_LEP,ENROLLMENT_ELL_LEP_PCT,ENROLLMENT_GRADE_PK_ELL_LEP,ENROLLMENT_GRADE_PK_ELL_LEP_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE,LUNCH_COUNT_FREE_REDUCED_PCT,SCHADDR1,SCHADDR2,SCHCITY,SCHZIP,SCHLPHON,SCHLFAX,BGRADE,EGRADE,SCHTTEACH,SCHENRR,SCHENRNR,SCHTENR,ELEMENTARY_SCHOOL_FLAG,MIDDLE_SCHOOL_FLAG,JUNIOR_HIGH_SCHOOL_FLAG,HIGH_SCHOOL_FLAG,AVTS_FLAG,ALTERNATIVE_SCHOOL_FLAG,FULL_CODE,CHARTER,MAGNET,ALTERNATIVE,lat,lng
10,2010,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,36,52,25,,,,*,*,35,97.22,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,48.1,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
11,2011,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,43,44,29,,*,*,,,41,95.35,*,*,*,*,*,*,*,*,*,*,*,*,*,*,14,32.56,65.9,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
12,2015,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,12,26,*,,*,*,,,11,91.67,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,58.33,*,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
13,2016,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,26,29,*,,*,*,,,26,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,19.23,*,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
14,2017,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,22,30,*,,*,*,,,22,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,27.27,*,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
15,2018,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,11,21,*,,*,*,,,10,90.91,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
16,2019,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,21,23,*,,*,*,,,21,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,23.81,*,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
17,2020,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,11,16,*,,*,*,,,10,90.91,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3847 Enright Avenue,,St. Louis ,631080000,3145522219,,5,12,6,13,0,13, , , , , ,Y,115-115-1015,FALSE,FALSE,TRUE,38.64417002,-90.23495401
18,2007,115115,ST. LOUIS CITY,1020,MADISON ALT. EDUCATION SCH.,59,145,123,,,,*,*,55,93.22,*,*,*,*,*,*,,,*,*,*,*,*,*,26,44.07,84.8,1118 South 7th St.,,St. Louis ,631040000,,,,,,,,,,,,,,,115-115-1020,FALSE,FALSE,TRUE,38.61625401,-90.19580298
19,2008,115115,ST. LOUIS CITY,1021,BIG PICTURE ELEM. ALT.,58,70,60,,,,*,*,55,94.83,*,*,*,*,*,*,,,*,*,*,*,*,*,8,13.79,85.7,450 Des Peres Ave,,St. Louis ,63112,,,,,,,,,,,,,,,115-115-1021,FALSE,FALSE,TRUE,38.652759,-90.29349699
20,2009,115115,ST. LOUIS CITY,1021,BIG PICTURE ELEM. ALT.,63,62,52,,,,*,*,61,96.83,*,*,*,*,*,*,,,*,*,*,*,*,*,7,11.11,83.9,450 Des Peres Ave,,St. Louis ,63112,,,,,,,,,,,,,,,115-115-1021,FALSE,FALSE,TRUE,38.652759,-90.29349699
21,2008,115115,ST. LOUIS CITY,1022,BIG PICTURE MIDDLE ALT.,60,58,43,,,,*,*,58,96.67,*,*,*,*,*,*,,,*,*,*,*,*,*,5,8.33,74.1,450 Des Peres Ave,,St. Louis ,63112,,,,,,,,,,,,,,,115-115-1022,FALSE,FALSE,TRUE,38.652759,-90.29349699
22,2009,115115,ST. LOUIS CITY,1022,BIG PICTURE MIDDLE ALT.,64,67,47,,,,*,*,62,96.88,*,*,*,*,*,*,,,*,*,*,*,*,*,11,17.19,70.1,450 Des Peres Ave,,St. Louis ,63112,,,,,,,,,,,,,,,115-115-1022,FALSE,FALSE,TRUE,38.652759,-90.29349699
23,2008,115115,ST. LOUIS CITY,1023,BIG PICTURE HIGH SCHOOL ALT.,65,58,43,,,,*,*,60,92.31,*,*,*,*,*,*,,,5,7.69,*,*,*,*,19,29.23,74.1,450 Des Peres Ave,,St. Louis ,63112,,,,,,,,,,,,,,,115-115-1023,FALSE,FALSE,TRUE,38.652759,-90.29349699
24,2009,115115,ST. LOUIS CITY,1023,BIG PICTURE HIGH SCHOOL ALT.,85,90,70,,,,*,*,76,89.41,*,*,*,*,*,*,,,9,10.59,*,*,*,*,18,21.18,77.8,450 Des Peres Ave,,St. Louis ,63112,,,,,,,,,,,,,,,115-115-1023,FALSE,FALSE,TRUE,38.652759,-90.29349699
25,2010,115115,ST. LOUIS CITY,1023,BIG PICTURE MIDDLE & HIGH @ NW,139,124,112,,,,*,*,133,95.68,*,*,*,*,*,*,,,5,3.6,*,*,*,*,25,17.99,90.3,5140 Riverview Boulevard,,St. Louis ,631201908,,,,,,,,,,,,,,,115-115-1023,FALSE,FALSE,TRUE,38.70094702,-90.25575404
26,2011,115115,ST. LOUIS CITY,1023,BIG PICTURE MIDDLE & HIGH @ NW,121,113,96,,*,*,,,114,94.21,*,*,*,*,*,*,*,*,6,4.96,*,*,*,*,22,18.18,85,5140 Riverview Boulevard,,St. Louis ,631201908,,,,,,,,,,,,,,,115-115-1023,FALSE,FALSE,TRUE,38.70094702,-90.25575404
27,2016,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,0,0,*,,*,*,,,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1118 South 7th St.,,St. Louis ,631040000,3149325711,3142441948, K,8,15,0,0,0, , , ,Y, , ,115-115-1024,FALSE,FALSE,TRUE,38.61625401,-90.19580298
28,2017,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,0,0,*,,*,*,,,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1118 South 7th St.,,St. Louis ,631040000,3149325711,3142441948, K,8,15,0,0,0, , , ,Y, , ,115-115-1024,FALSE,FALSE,TRUE,38.61625401,-90.19580298
29,2018,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,0,0,*,,*,*,,,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1118 South 7th St.,,St. Louis ,631040000,3149325711,3142441948, K,8,15,0,0,0, , , ,Y, , ,115-115-1024,FALSE,FALSE,TRUE,38.61625401,-90.19580298
30,2019,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,0,0,*,,*,*,,,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1118 South 7th St.,,St. Louis ,631040000,3149325711,3142441948, K,8,15,0,0,0, , , ,Y, , ,115-115-1024,FALSE,FALSE,TRUE,38.61625401,-90.19580298
31,2020,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,0,0,*,,*,*,,,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1118 South 7th St.,,St. Louis ,631040000,3149325711,3142441948, K,8,15,0,0,0, , , ,Y, , ,115-115-1024,FALSE,FALSE,TRUE,38.61625401,-90.19580298
32,2000,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,203,426,191,44.8,,,*,*,258,127.09,8,3.94,*,*,*,*,,,171,84.24,*,*,*,*,*,*,,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
33,2001,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,409,397,158,39.8,,,*,*,238,58.19,*,*,*,*,*,*,,,167,40.83,*,*,*,*,*,*,,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
34,2002,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,428,255,128,50.2,,,*,*,291,67.99,*,*,*,*,*,*,,,132,30.84,*,*,*,*,*,*,,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
35,2003,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,430,322,192,59.6,,,*,*,318,73.95,*,*,*,*,*,*,,,108,25.12,*,*,*,*,*,*,,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
36,2004,115115,ST. LOUIS CITY,1100,CAREER ACADEMY,310,309,288,93.2,,,*,*,245,79.03,*,*,*,*,*,*,,,62,20,*,*,*,*,*,*,,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
37,2005,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,617,603,440,73,,,*,*,556,90.11,*,*,*,*,*,*,,,57,9.24,*,*,*,*,*,*,,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
38,2006,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,722,697,446,,,,*,*,672,93.07,*,*,*,*,*,*,,,45,6.23,*,*,*,*,80,11.08,64,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
39,2007,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,732,719,526,,,,*,*,679,92.76,6,0.82,*,*,*,*,,,47,6.42,*,*,*,*,76,10.38,73.2,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
40,2008,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,712,696,379,,,,*,*,660,92.7,5,0.7,*,*,*,*,,,46,6.46,*,*,*,*,65,9.13,54.5,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
41,2009,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,729,710,456,,,,*,*,683,93.69,6,0.82,*,*,*,*,,,38,5.21,*,*,*,*,72,9.88,64.2,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
42,2010,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,725,715,583,,,,*,*,680,93.79,6,0.83,*,*,*,*,,,34,4.69,5,0.69,*,*,80,11.03,81.5,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
43,2011,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,703,690,563,,5,0.71,,,665,94.59,8,1.14,*,*,*,*,*,*,24,3.41,7,1,*,*,87,12.38,81.6,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
44,2012,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,807,785,639,,5,0.62,,,762,94.42,7,0.87,*,*,*,*,*,*,31,3.84,*,*,*,*,95,11.77,81.4,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
45,2013,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,788,777,663,,*,*,,,752,95.43,8,1.02,*,*,*,*,*,*,22,2.79,*,*,*,*,85,10.79,85.3,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
46,2014,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,710,678,572,,*,*,,,679,95.63,6,0.85,*,*,*,*,*,*,23,3.24,*,*,*,*,79,11.13,84.4,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
47,2015,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,685,674,*,,*,*,,,655,95.62,*,*,*,*,*,*,*,*,26,3.8,*,*,*,*,68,9.93,*,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
48,2016,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,666,628,*,,*,*,,,644,96.7,*,*,*,*,*,*,*,*,18,2.7,*,*,*,*,68,10.21,*,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
49,2017,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,593,576,*,,*,*,,,570,96.12,5,0.84,*,*,*,*,*,*,16,2.7,*,*,*,*,47,7.93,*,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
50,2018,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,602,576,*,,*,*,,,585,97.18,5,0.83,*,*,*,*,*,*,10,1.66,7,1.16,*,*,45,7.48,*,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
51,2019,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,543,532,*,,*,*,,,530,97.61,5,0.92,*,*,*,*,*,*,7,1.29,8,1.47,*,*,39,7.18,*,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
52,2020,115115,ST. LOUIS CITY,1100,MILLER CAREER ACADEMY,494,492.5,*,,*,*,,,478,96.76,6,1.21,*,*,*,*,*,*,8,1.62,11,2.23,*,*,27,5.47,*,1000 N Grand,,St. Louis ,631061622,3143710394,3143711311,9,12,49,471,0,471, , , , ,Y, ,115-115-1100,FALSE,TRUE,FALSE,38.64274799,-90.22825804
53,2000,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1380,1293,708,54.8,,,*,*,802,58.12,12,0.87,*,*,*,*,,,494,35.8,*,*,*,*,*,*,,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
54,2001,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1431,1354,742,54.8,,,*,*,831,58.07,12,0.84,*,*,*,*,,,521,36.41,*,*,*,*,*,*,,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
55,2002,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1485,1395,886,63.5,,,*,*,849,57.17,20,1.35,*,*,*,*,,,547,36.84,*,*,*,*,*,*,,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
56,2003,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1486,1395,917,65.7,,,*,*,873,58.75,17,1.14,*,*,*,*,,,527,35.46,*,*,*,*,*,*,,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
57,2004,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1424,1362,917,67.3,,,*,*,831,58.36,22,1.54,*,*,*,*,,,503,35.32,*,*,*,*,*,*,,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
58,2005,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1340,1267,700,55.2,,,*,*,794,59.25,17,1.27,*,*,*,*,,,447,33.36,*,*,*,*,*,*,,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
59,2006,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1442,1329.27,772,,,,*,*,889,61.65,24,1.66,5,0.35,*,*,,,442,30.65,*,*,*,*,196,13.59,58.1,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
60,2007,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1250,1199.98,806,,,,*,*,831,66.48,22,1.76,5,0.4,*,*,,,343,27.44,*,*,*,*,217,17.36,67.2,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
61,2008,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1213,1142,598,,,,62,5.11,821,67.68,22,1.81,8,0.66,*,*,,,300,24.73,*,*,*,*,219,18.05,52.4,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
62,2009,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1154,1110,628,,,,56,4.85,797,69.06,34,2.95,6,0.52,*,*,,,261,22.62,*,*,*,*,205,17.76,56.6,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
63,2010,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1123,1080,824,,,,53,4.72,759,67.59,37,3.29,*,*,*,*,,,271,24.13,101,8.99,*,*,171,15.23,76.3,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
64,2011,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1165,1095,825,,72,6.18,,,726,62.32,47,4.03,*,*,*,*,*,*,317,27.21,125,10.73,*,*,158,13.56,75.3,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
65,2012,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1200,1158.5,975.3,,94,7.83,,,731,60.92,57,4.75,*,*,*,*,*,*,316,26.33,131,10.92,*,*,166,13.83,84.2,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
66,2013,115115,ST. LOUIS CITY,1220,GATEWAY HIGH,1177,1119,916,,103,8.75,,,705,59.9,69,5.86,*,*,*,*,*,*,296,25.15,122,10.37,*,*,166,14.1,81.9,5101 Mcree Avenue,,St. Louis ,631102019,3147763300,3147768267,9,12,91,926,0,926, , , ,Y, , ,115-115-1220,FALSE,TRUE,FALSE,38.62160698,-90.27046201
