SchoolName,CONTENT_AREA,CATEGORY,TYPE,GRADE_SUBJECT,YEAR,ACCOUNTABLE,PARTICIPANT,REPORTABLE,LEVEL_NOT_DETERMINED,LEVEL_NOT_DETERMINED_PCT,BELOW_BASIC,BELOW_BASIC_PCT,BASIC,BASIC_PCT,PROFICIENT,PROFICIENT_PCT,ADVANCED,ADVANCED_PCT,MAP_INDEX,MEAN_SCALE_SCORE,MEDIAN_TERRANOVA
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Third Grade,2008,52,,52,*,*,13,25.0,27,51.9,*,11.5,*,11.5,,604.1,42.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Third Grade,2007,42,,42,*,*,*,11.9,19,45.2,13,31.0,*,11.9,,617.0,72.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Third Grade,2006,49,,49,*,*,13,26.5,23,46.9,*,16.3,*,10.2,,603.2,25.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fourth Grade,2010,56,,56,*,*,14,25.0,30,53.6,12,21.4,*,*,,619.3,41.5
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fourth Grade,2009,58,,58,*,*,20,34.5,33,56.9,*,8.6,*,*,,603.2,24.5
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fourth Grade,2008,47,,47,*,*,*,14.9,34,72.3,*,12.8,*,*,,619.8,36.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fourth Grade,2007,42,,42,*,*,15,35.7,26,61.9,*,*,*,*,,605.7,27.5
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fourth Grade,2006,71,,71,*,*,26,36.6,36,50.7,*,11.3,*,*,,606.5,31.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fifth Grade,2010,66,,66,*,*,23,34.8,32,48.5,11,16.7,*,*,,621.8,36.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fifth Grade,2009,62,,62,*,*,*,14.5,51,82.3,*,*,*,*,,628.0,37.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fifth Grade,2008,47,,47,*,*,12,25.5,34,72.3,*,*,*,*,,622.9,31.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fifth Grade,2007,64,,64,*,*,24,37.5,35,54.7,*,7.8,*,*,,619.7,28.0
AMES VISUAL/PERF. ARTS  (4250),Mathematics,Total,Total,Fifth Grade,2006,55,,55,*,*,*,16.4,39,70.9,*,12.7,*,*,,630.9,35.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Third Grade,2010,51,,51,*,*,24,47.1,23,45.1,*,5.9,*,*,,585.3,14.5
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Third Grade,2009,42,,42,*,*,20,47.6,20,47.6,*,*,*,*,,584.6,17.5
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Third Grade,2008,69,,69,*,*,25,36.2,39,56.5,*,7.2,*,*,,597.9,28.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Third Grade,2007,67,,64,*,*,29,45.3,32,50.0,*,*,*,*,,600.6,26.5
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Third Grade,2006,78,,73,*,6.4,34,46.6,31,42.5,*,9.6,*,*,,596.2,15.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fourth Grade,2010,42,,42,*,*,16,38.1,20,47.6,*,14.3,*,*,,620.6,29.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fourth Grade,2009,58,,58,*,*,19,32.8,35,60.3,*,6.9,*,*,,621.2,31.5
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fourth Grade,2008,57,,57,*,*,21,36.8,33,57.9,*,5.3,*,*,,616.9,26.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fourth Grade,2007,69,,68,*,*,33,48.5,30,44.1,*,7.4,*,*,,606.7,23.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fourth Grade,2006,54,,54,*,*,13,24.1,33,61.1,*,13.0,*,*,,630.4,42.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fifth Grade,2010,55,,55,*,*,17,30.9,33,60.0,*,7.3,*,*,,637.9,18.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fifth Grade,2009,56,,56,*,*,25,44.6,27,48.2,*,7.1,*,*,,622.3,18.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fifth Grade,2008,59,,59,*,*,21,35.6,33,55.9,*,8.5,*,*,,628.7,25.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fifth Grade,2007,55,,54,*,*,18,33.3,30,55.6,*,9.3,*,*,,634.3,30.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Fifth Grade,2006,80,,79,*,*,24,30.4,48,60.8,*,7.6,*,*,,633.1,35.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Sixth Grade,2010,45,,45,*,*,14,31.1,22,48.9,*,15.6,*,*,,648.4,33.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Sixth Grade,2009,52,,52,*,*,14,26.9,30,57.7,*,15.4,*,*,,643.4,28.5
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Sixth Grade,2008,50,,50,*,*,14,28.0,30,60.0,*,10.0,*,*,,644.7,35.0
ASHLAND ELEM. AND BR.  (4060),Eng. Language Arts,Total,Total,Sixth Grade,2007,79,,78,*,*,26,33.3,41,52.6,11,14.1,*,*,,638.1,33.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Third Grade,2010,50,,50,*,*,19,38.0,29,58.0,*,*,*,*,,568.6,17.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Third Grade,2009,42,,42,*,*,18,42.9,20,47.6,*,9.5,*,*,,570.6,19.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Third Grade,2008,69,,68,*,*,29,42.6,39,57.4,*,*,*,*,,564.0,15.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Third Grade,2007,67,,67,*,*,26,38.8,37,55.2,*,6.0,*,*,,573.5,25.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Third Grade,2006,77,,76,*,*,26,34.2,40,52.6,10,13.2,*,*,,582.9,24.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fourth Grade,2010,42,,41,*,*,17,41.5,23,56.1,*,*,*,*,,601.8,19.5
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fourth Grade,2009,58,,58,*,*,25,43.1,31,53.4,*,*,*,*,,595.2,21.5
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fourth Grade,2008,57,,57,*,*,29,50.9,27,47.4,*,*,*,*,,589.6,17.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fourth Grade,2007,69,,69,*,*,35,50.7,28,40.6,*,8.7,*,*,,594.4,18.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fourth Grade,2006,54,,53,*,*,17,32.1,29,54.7,*,13.2,*,*,,611.7,31.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fifth Grade,2010,55,,55,*,*,20,36.4,30,54.5,*,9.1,*,*,,613.5,22.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fifth Grade,2009,56,,56,*,*,28,50.0,22,39.3,*,10.7,*,*,,594.3,15.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fifth Grade,2008,59,,59,*,*,35,59.3,20,33.9,*,6.8,*,*,,589.1,13.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fifth Grade,2007,55,,54,*,*,14,25.9,34,63.0,*,11.1,*,*,,623.9,27.5
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Fifth Grade,2006,81,,80,*,*,16,20.0,53,66.3,11,13.8,*,*,,631.4,37.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Sixth Grade,2010,45,,45,*,*,13,28.9,21,46.7,11,24.4,*,*,,649.0,26.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Sixth Grade,2009,52,,52,*,*,19,36.5,21,40.4,12,23.1,*,*,,635.1,31.0
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Sixth Grade,2008,50,,50,*,*,18,36.0,28,56.0,*,8.0,*,*,,632.6,22.5
ASHLAND ELEM. AND BR.  (4060),Mathematics,Total,Total,Sixth Grade,2007,79,,79,*,*,23,29.1,46,58.2,*,11.4,*,*,,642.7,34.0
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Third Grade,2009,44,,44,*,*,15,34.1,27,61.4,*,*,*,*,,585.7,24.0
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Third Grade,2008,41,,41,*,*,17,41.5,23,56.1,*,*,*,*,,589.2,20.0
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Third Grade,2007,51,,51,*,*,30,58.8,18,35.3,*,5.9,*,*,,585.4,12.0
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Third Grade,2006,42,,42,*,*,11,26.2,26,61.9,*,9.5,*,*,,606.8,19.0
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Fourth Grade,2009,43,,43,*,*,18,41.9,22,51.2,*,7.0,*,*,,612.4,26.0
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Fourth Grade,2008,42,,42,*,*,20,47.6,22,52.4,*,*,*,*,,613.6,21.5
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Fourth Grade,2007,44,,44,*,*,17,38.6,24,54.5,*,6.8,*,*,,615.2,27.0
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Fourth Grade,2006,36,,36,*,*,16,44.4,18,50.0,*,5.6,*,*,,615.5,21.0
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Fifth Grade,2009,36,,36,*,*,13,36.1,20,55.6,*,8.3,*,*,,635.5,28.5
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Fifth Grade,2008,34,,34,*,*,10,29.4,23,67.6,*,*,*,*,,634.9,25.5
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Fifth Grade,2007,39,,39,*,*,11,28.2,27,69.2,*,*,*,*,,632.9,32.0
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Fifth Grade,2006,36,,36,*,*,15,41.7,18,50.0,*,8.3,*,*,,629.8,31.5
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Sixth Grade,2009,30,,30,*,*,13,43.3,17,56.7,*,*,*,*,,633.9,21.5
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Sixth Grade,2008,34,,34,*,*,*,26.5,22,64.7,*,8.8,*,*,,640.9,29.0
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Sixth Grade,2007,26,,26,*,*,14,53.8,11,42.3,*,*,*,*,,620.9,17.5
BADEN ELEM.  (4080),Eng. Language Arts,Total,Total,Sixth Grade,2006,45,,44,*,*,23,52.3,18,40.9,*,6.8,*,*,,627.1,22.5
BADEN ELEM.  (4080),Mathematics,Total,Total,Third Grade,2009,44,,44,*,*,17,38.6,24,54.5,*,6.8,*,*,,574.9,17.0
BADEN ELEM.  (4080),Mathematics,Total,Total,Third Grade,2008,41,,41,*,*,10,24.4,26,63.4,*,12.2,*,*,,585.8,25.0
BADEN ELEM.  (4080),Mathematics,Total,Total,Third Grade,2007,51,,51,*,*,28,54.9,23,45.1,*,*,*,*,,565.4,16.0
BADEN ELEM.  (4080),Mathematics,Total,Total,Third Grade,2006,42,,42,*,*,12,28.6,28,66.7,*,*,*,*,,582.5,26.0
BADEN ELEM.  (4080),Mathematics,Total,Total,Fourth Grade,2009,43,,43,*,*,16,37.2,24,55.8,*,7.0,*,*,,598.9,19.5
BADEN ELEM.  (4080),Mathematics,Total,Total,Fourth Grade,2008,42,,42,*,*,18,42.9,23,54.8,*,*,*,*,,602.7,20.0
BADEN ELEM.  (4080),Mathematics,Total,Total,Fourth Grade,2007,44,,44,*,*,11,25.0,30,68.2,*,6.8,*,*,,610.3,39.5
BADEN ELEM.  (4080),Mathematics,Total,Total,Fourth Grade,2006,36,,36,*,*,*,19.4,27,75.0,*,5.6,*,*,,621.5,43.0
BADEN ELEM.  (4080),Mathematics,Total,Total,Fifth Grade,2009,37,,37,*,*,17,45.9,19,51.4,*,*,*,*,,600.9,18.0
BADEN ELEM.  (4080),Mathematics,Total,Total,Fifth Grade,2008,34,,34,*,*,15,44.1,19,55.9,*,*,*,*,,609.9,22.5
BADEN ELEM.  (4080),Mathematics,Total,Total,Fifth Grade,2007,39,,39,*,*,12,30.8,27,69.2,*,*,*,*,,615.8,24.0
BADEN ELEM.  (4080),Mathematics,Total,Total,Fifth Grade,2006,36,,36,*,*,12,33.3,23,63.9,*,*,*,*,,616.1,24.5
BADEN ELEM.  (4080),Mathematics,Total,Total,Sixth Grade,2009,30,,30,*,*,13,43.3,15,50.0,*,6.7,*,*,,625.3,18.5
BADEN ELEM.  (4080),Mathematics,Total,Total,Sixth Grade,2008,34,,34,*,*,11,32.4,22,64.7,*,*,*,*,,631.1,27.5
BADEN ELEM.  (4080),Mathematics,Total,Total,Sixth Grade,2007,26,,26,*,*,10,38.5,15,57.7,*,*,*,*,,633.6,23.5
BADEN ELEM.  (4080),Mathematics,Total,Total,Sixth Grade,2006,45,,44,*,*,27,61.4,15,34.1,*,*,*,*,,617.6,16.0
BEAUMONT CTE HIGH SCHOOL  (1250),Eng. Language Arts,Total,Total,Eleventh Grade,2009,*,,*,*,*,*,*,*,*,*,*,*,*,,0.0,--
BEAUMONT CTE HIGH SCHOOL  (1250),Eng. Language Arts,Total,Total,Eleventh Grade,2008,184,,184,*,*,77,41.8,74,40.2,26,14.1,*,*,,686.7,40.0
BEAUMONT CTE HIGH SCHOOL  (1250),Eng. Language Arts,Total,Total,Eleventh Grade,2007,245,,244,*,*,101,41.4,123,50.4,17,7.0,*,*,,684.1,37.0
BEAUMONT CTE HIGH SCHOOL  (1250),Eng. Language Arts,Total,Total,Eleventh Grade,2006,160,,160,*,*,54,33.8,91,56.9,14,8.8,*,*,,688.4,38.0
BEAUMONT CTE HIGH SCHOOL  (1250),Mathematics,Total,Total,Tenth Grade,2008,154,,154,*,*,111,72.1,35,22.7,*,5.2,*,*,,664.0,22.5
BEAUMONT CTE HIGH SCHOOL  (1250),Mathematics,Total,Total,Tenth Grade,2007,221,,221,*,*,123,55.7,78,35.3,19,8.6,*,*,,686.7,27.0
BEAUMONT CTE HIGH SCHOOL  (1250),Mathematics,Total,Total,Tenth Grade,2006,290,,288,*,*,167,58.0,81,28.1,33,11.5,*,*,,684.2,32.0
BEAUMONT CTE HIGH SCHOOL  (1250),Mathematics,Total,Total,Algebra 1,2010,108,,106,*,*,41,38.7,58,54.7,*,5.7,*,*,,175.2,--
BEAUMONT CTE HIGH SCHOOL  (1250),Mathematics,Total,Total,Algebra 1,2009,74,,73,*,*,20,27.4,35,47.9,16,21.9,*,*,,184.7,--
BIG PICTURE ELEM. ALT.  (1021),Eng. Language Arts,Total,Total,Third Grade,2009,11,,11,*,*,*,36.4,*,54.5,*,9.1,*,*,,589.3,23.0
BIG PICTURE ELEM. ALT.  (1021),Eng. Language Arts,Total,Total,Third Grade,2008,*,,*,*,*,*,44.4,*,55.6,*,*,*,*,,586.4,24.0
BIG PICTURE ELEM. ALT.  (1021),Eng. Language Arts,Total,Total,Fourth Grade,2009,10,,10,*,*,*,50.0,*,50.0,*,*,*,*,,609.5,20.0
BIG PICTURE ELEM. ALT.  (1021),Eng. Language Arts,Total,Total,Fourth Grade,2008,12,,12,*,*,*,41.7,*,58.3,*,*,*,*,,611.8,23.5
BIG PICTURE ELEM. ALT.  (1021),Eng. Language Arts,Total,Total,Fifth Grade,2009,*,,*,*,*,*,55.6,*,44.4,*,*,*,*,,631.3,15.0
BIG PICTURE ELEM. ALT.  (1021),Eng. Language Arts,Total,Total,Fifth Grade,2008,15,,15,*,*,*,20.0,10,66.7,*,13.3,*,*,,638.9,26.0
BIG PICTURE ELEM. ALT.  (1021),Eng. Language Arts,Total,Total,Sixth Grade,2009,16,,16,*,*,*,37.5,*,50.0,*,12.5,*,*,,636.6,31.0
BIG PICTURE ELEM. ALT.  (1021),Eng. Language Arts,Total,Total,Sixth Grade,2008,12,,12,*,*,*,25.0,*,66.7,*,8.3,*,*,,641.9,42.5
BIG PICTURE ELEM. ALT.  (1021),Mathematics,Total,Total,Third Grade,2009,11,,11,*,*,*,36.4,*,54.5,*,9.1,*,*,,571.7,15.0
BIG PICTURE ELEM. ALT.  (1021),Mathematics,Total,Total,Third Grade,2008,*,,*,*,*,*,33.3,*,66.7,*,*,*,*,,568.8,19.0
BIG PICTURE ELEM. ALT.  (1021),Mathematics,Total,Total,Fourth Grade,2009,10,,10,*,*,*,70.0,*,30.0,*,*,*,*,,585.3,12.5
BIG PICTURE ELEM. ALT.  (1021),Mathematics,Total,Total,Fourth Grade,2008,12,,12,*,*,*,58.3,*,41.7,*,*,*,*,,591.7,11.5
BIG PICTURE ELEM. ALT.  (1021),Mathematics,Total,Total,Fifth Grade,2009,*,,*,*,*,*,55.6,*,44.4,*,*,*,*,,606.6,14.0
BIG PICTURE ELEM. ALT.  (1021),Mathematics,Total,Total,Fifth Grade,2008,15,,15,*,*,*,46.7,*,46.7,*,6.7,*,*,,610.2,18.0
BIG PICTURE ELEM. ALT.  (1021),Mathematics,Total,Total,Sixth Grade,2009,16,,16,*,*,*,50.0,*,50.0,*,*,*,*,,611.6,16.0
BIG PICTURE ELEM. ALT.  (1021),Mathematics,Total,Total,Sixth Grade,2008,12,,12,*,*,*,33.3,*,58.3,*,8.3,*,*,,629.7,25.0
